board,goal,toolbox,defines,globals,textgoal,note
"[""_ + 1"",""_ - 1""]","[5,7]","[2,4,6,8]",[],{},,
"[""_ + 1"",""_ + 1""]",[7],"[3,4,5,6,7]",[],{},,
"[""_ + 1"",""_ - 1""]",[4],"[2,3,4,5,6]",[],{},,
"[3,""_ + _""]","[7,9]","[3,4,5,6]",[],{},,
"[""(x) => _ + 3"",5]",[8],"[""x"",""y""]",[],{},Create a function to output 8,
"[""(x) => _ + 3"",""(y) => _ + 2"",9]","[5,6]","[""x"",""y"",2,3,4]",[],{},,
"[""(x) => (y) => x + 1""]",[3],"[1,2,3,4]",[],{},,
"[""(x) => (y) => x + 2"",""(x) => (y) => y + 3""]",[7],"[0,1,2,3]",[],{},,
"[""(x) => (y) => _ + 2""]",[7],"[5,6,""x"",""y""]",[],{},,
"[""(x) => (y) => _"",1,3]",[6],"[""x + 2"",""y + 3"",""x + 4""]",[],{},,
"[""(a) => (b) => a + b""]",[7],"[1,2,3,4,5]",[],{},,
"[""(b) => (a) => a + b"",""x => xx""]","[4,6]","[1,2,3,4]",[],{},,
"[""(a) => (b) => a + b"",""x => xx""]","[7,9]","[1,2,3,4,5]",[],{},,
"[""(b) => b + b""]",[8],"[1,2,3,4,5]",[],{},,
"[""(a) => (b) => _ + a""]","[2,6]","[1,2,3,4,5,""a"",""b""]",[],{},,
"[""(a) => (b) => _ + b""]",[4],"[""a"",""b"",1,2]",[],{},,
