board,goal,toolbox,defines,globals,textgoal,note
"[""function addTwo(number){ return _;}"",""number"",""_(_)"",""_(_)""]",[7],"[""__unlimited; addOne"",""addTwo"",3,4,5,6]",[],{},Define a function to add 2 to a number.,
"[""function threeTimes(func, number){ return _(_(_(_)));}"",""number""]",[18],"[""__unlimited; addThree"",""__unlimited; func"",""threeTimes"",3,4,5,9,10]",[],{},Define a function to use a function 3 times in a row.,
"[""__unlimited; _(_)"",""twice(_)""]",[7],"[""addOne"",""addThree"",1,5,9]",[],"{""twice"":""function twice(f) { return (x) => f(f(x)); }""}",🍆,
"[""twice"",""y"",""function addTwo(y) { return _; }"",""__tests(testMe(3), testMe(7), testMe(11))""]","[5,9,13]","[""__unlimited; _(_)"",""addTwo"",""addOne""]","[""function addTwo(x) { return (twice(addOne))(x); }""]","{""twice"":""function twice(f) { return (x) => f(f(x)); }""}",Use twice to define a function that computes x plus 2,
"[""repeat(2, addOne)""]",[5],"[""__unlimited; _(_)"",1,2,3,4]",[],"{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",The repeat function lets you use the same function many times!,
"[""repeat(_, addOne)""]",[11],"[""__unlimited; _(_)"",3,4,5,6]",[],"{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",,
"[""repeat(3, _)""]",[8],"[""__unlimited; _(_)"",""doNothing"",""addOne"",""addTwo"",0,1,2]",[],"{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",,
"[""repeat(_, _)"",""x"",""function addSix(x) { return _; }"",""__tests(testMe(5), testMe(9))""]","[11,15]","[""__unlimited; _(_)"",""addSix"",""addThree"",""addTwo"",1,3,5]","[""function addSix(x) { return (repeat(3, addTwo))(x); }""]","{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",Define a function that computes x plus 6,
"[""__tests(testMe(_), testMe(_))""]","[9,12]","[""__unlimited; _(_)"",""addSix"",1,2,3,4,5,6]",[],"{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",,
"[""function add(a, b) { return repeat(_,addOne)( _ ); }"",""__tests(testMe(_, _), testMe(_, _), testMe(1, 2))"",""a"",""b""]","[3,8,9]","[""__unlimited; _(_)"",""add"",2,3,5,7]","[""function add(a, b) { return repeat(a, addOne)(b); }""]","{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",Define a function that computes a plus b,
"[""function add(a, b) { return _; }"",""__tests(testMe(_, _), testMe(_, _), testMe(1, 2))"",""repeat(_)"",""a"",""b"",""addOne""]","[3,8,9]","[""__unlimited; _(_)"",""add"",2,3,5,7]","[""function add(a, b) { return repeat(a, addOne)(b); }""]","{""twice"":""function twice(f) { return (x) => f(f(x)); }"",""repeat"":""function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }""}",Define a function that computes a plus b,
