board,goal,textgoal,toolbox,defines,globals,syntax,animationScales,comments
"['function isEmpty(list) { return  (length(list)) == (0); }']","['false','true','true']","We can see if a list has no items with the isEmpty function.","['[]','[]','[0,1,2,3]','__unlimited; isEmpty']","['function isEmpty(list) { return  (length(list)) == (0); }']",{},{}
"['function head(list) { return  get(list, 0); }']","['1','1','1','2']","We can use the head function to get the first item in a list.","['[1]','[2]','[1,2]','[1,2,3,4]','__unlimited; head']","['function head(list) { return get(list, 0); }']",{},{}
"['function tail(list) {length(list) == 1 ? [] : slice(list, 1, length(list)); }']","['[]','[]','[2]','[2,3,4]']", "We can use the tail function to get everything except the head.","['[1]','[2]','[1,2]','[1,2,3,4]','__unlimited; tail']","['function tail(list) {length(list) == 1 ? [] : slice(list, 1, length(list)); }']",{},{}
"[]","['0','1','2']","We can access every item in a list by using just the head and tail functions.","['__unlimited; head','__unlimited; tail','__unlimited; [0,1,2]']",{},{}
"['function cons(item,list) { return concat([item], list); }','[2,3]','[""rect""]']","['[1,2,3]','[""star"", ""rect""]']","We can add new items into an old list using the cons function to build a new list. Try building the lists below.","['__unlimited; cons','1','""star""']","['function cons(item,list) { return  concat([item], list); }']",{},{}
"['1','7','0','3']","['[1,3,0,7]']","Build a the list below starting with an empty list using the cons function.","['__unlimited; cons','[]','__unlimited; head','__unlimited; tail']",{},{}
"['[1,4,2]']","['[1,9,5]']","Try to build the list below.","['[9,5]','cons','tail','head','[5,9]']",{},{}
"['function reverse(list) { (length(list) < 2) ? list : concat(reverse(tail(list)), [head(list)]) }']","['[4,3,2,1]','[""🍽"",""🚽"",""💩""]']","We can reverse lists using the reverse() function.","['[1,2,3,4]', 'reverse', 'reverse', '[""💩"",""🚽"",""🍽""]']","['function reverse(list) { (length(list) < 2) ? list : concat(reverse(tail(list)), [head(list)]) }']",{},{} 
"['[1,2,3]','10']","['[1,2,3,10]']","We can add a value to the end of a list by using reverse() and cons().","['reverse','reverse','cons']",{},{}
"['function addToEnd(item, list) { return  _; }']","['[1,2,3,4,5]']","Great! Now that we can add an item to the end of a list, let's wrap that up as a function called addToEnd().","['__unlimited; reverse','cons','item','list','addToEnd','5','[1,2,3,4]']",{},{}
"['reverse','[4,2,7]','[4,2]']","['[2,4,7,2,4]']","Let's try out the functions you've now seen to reach the goal.","['tail','head','4','cons','cons']",{},{}
"['function count(list) {isEmpty(list) ? 0 : 1 + count(tail(list))}']","['1','3','0','4']","The count() function counts the number of items in a list.","['__unlimited; count','[1,3,5]','[]','[5]','[13,4,6,2]']","['function count(list) {list == [] ? 0 : 1 + count(tail(list))}']",{},{}
"['count','count']","['3','2']","Which lists will give 3 and 2?","['[]','[""star""]','[""star"",""rect""]','[""star"",""triangle"",""rect""]']",{},{}
