board,goal,toolbox,defines,globals,textgoal,note
"[""function head(list) {return get(list, 0);}"",""function tail(list) {length(list) == 1 ? [] : slice(list, 1, length(list)); }""]","[1,""[2,4,6]""]","[""__unlimited; [1,2,4,6]"",""head"",""tail""]","[""function head(list) { return get(list, 0); }"",""function tail(list) {length(list) == 1 ? [] : slice(list, 1, length(list)); }""]",{},Head and Tail Introduction,
[],"[0,1,2]","[""__unlimited; head"",""__unlimited; tail"",""__unlimited; [0,1,2,3]""]",[],{},Access Elements,
"[""function cons(e,list) { return  concat([e], list); }"",""[]""]","[""[1,2,3]""]","[""__unlimited; cons"",1,5,4,2,3]","[""function cons(e,list) { return  concat([e], list); }""]",{},Build List,
"[""function duplicate(list) { return concat(list, list); }"",""[1,2,3,4,5]""]","[""[1,2,3,4,5,1,2,3,4,5]""]","[""duplicate""]","[""function duplicate(list) { return concat(list, list); }""]",{},Demonstrate Duplicate,
"[""function reverse(list) { (length(list) < 2) ? list : concat(reverse(tail(list)), [head(list)]) }""]","[""[4,3,2,1]""]","[""[1,2,3,4]"",""reverse""]","[""function reverse(list) { (length(list) < 2) ? list : concat(reverse(tail(list)), [head(list)]) }""]",{},Reverse List,
"[""function count(list) {list == [] ? 0 : 1 + count(tail(list))}""]","[1,3,0]","[""__unlimited; count"",""[1,3,5]"",""[]"",""[5]"",""[13,4,6,2]""]","[""function count(list) {list == [] ? 0 : 1 + count(tail(list))}""]",{},Counting Function,
"[""count"",""count"",""count"",""[100]"",""[2,6,3]"",""[2,4]"",""[2,4,6,7]"",""[]"",""count"",""count""]",[10],"[""__unlimited; add""]",[],{},Adding Count Results,
"[""[10]"",""[5,2]""]","[""[2,1]""]","[""__unlimited; cons"",""[]"",""(_) + (_)"",""count"",""count""]",[],{},Count to Build,
"[""(_) < (_)"",""function smallList(list) { return  _; }""]","[true,true,false]","[""count"",""[1,5]"",3,""[]"",""list"",""[1,2,4,3]"",""__unlimited; tooSmall""]",[],{},Compare Sizes,
"[2,""[]"",""cons""]",[8],"[""__unlimited; duplicate"",""count""]",[],{},Powers of Two,
"[""[5,4,3,2,1]"",""(_) == (_)"",""[]"",""[1,2,3,4,5,6,7]"",""function my_count(list) { return  _; }"",""my_count"",""(_) ? (_) : (_)""]","[5,7]","[0,1,""(_) == (_)"",""(_) + (_)"",""__unlimited; list"",""tail"",""__unlimited; my_count""]",[],{},,
"[""function filter(list,f) { return  ((list) == ([])) ? ([]) : ((((f)(head(list))) == (true)) ? (cons(head(list), filter(tail(list), f))) : (filter(tail(list), f))); }"",""(e) => (e) == (1)"",""(e) => (e) > (1)"",""(e) => (e) > (5)""]","[""[1]"",""[2,3,4]"",""[]""]","[""__unlimited; [1,2,3,4]"",""__unlimited; filter""]","[""function filter(list,f) { return  ((list) == ([])) ? ([]) : ((((f)(head(list))) == (true)) ? (cons(head(list), filter(tail(list), f))) : (filter(tail(list), f))); }""]",{},Introducing Filter,
"[""filter"",""filter"",""num"",""function biggerThanZero(num) { return  _; }""]","[""[]"",""[3,2,1]""]","[""(_) > (0)"",""__unlimited; biggerThanZero"",""[0,3,2,1]"",""[0,0,0,0]""]",[],{},Remove Zeros in Lists,
"[""function keepTrue(list) { return  _; }"",""(x) => _"",""[false,false,false,true]"",""[false,false,true,false]"",""[false]""]","[""[]"",""[true]"",""[true]""]","[""x"",""filter"",""list"",""__unlimited; keepTrue"",""(_) == (true)""]",[],{},Keep True Values in the Lists,
"[""function removeNumber(list,num){ return _;}"",""list"",3,12,""[12,3,3,3,12,12,3]""]","[""[]""]","[""x"",""num"",""__unlimited; removeNumber"",""!(_ == _)"",""x => _"",""filter""]",[],{},Remove a Specific Number from List,
"[""function my_filter(list,f) { return  _; }"",""[]"",""[]"",""cons"",""(_) ? (_) : (_)"",""my_filter"",""my_filter"",""(_) ? (_) : (_)"",""(f)(_)"",""(_) == (_)""]","[""[2]"",""[1,2,3]""]","[""__unlimited; f"",""__unlimited; list"",""__unlimited; my_filter"",""(e) => (e) == (e)"",""(e) => (e) == (2)"",""__unlimited; head"",""__unlimited; tail"",""__unlimited; [1,2,3]""]",[],{},Build Filter,
[],[],"[""addOne""]","[""function fold(f, a, i) { return 0;}""]",{},play,
